id,question_text,answer_text,topic,subtopic,source_page,material_id,chapter,subject_id,user_id
1,"Tendencias de cambio estructural (""marco global"")","Se refiere a fenómenos internacionales que afectan el desarrollo de los negocios.
Factores clave:
Globalización económica y cultural.
Desarrollo tecnológico e industrias emergentes.
Cambios demográficos y sociales.
Regulaciones medioambientales a escala global.
Determina las condiciones futuras del mercado y guía la estrategia a largo plazo.",contexto,ambitos,44,25,2,1,3
2,que gusto tiene la sal?,salado,salitud,salita,78886,25,19816918,1,4
3,azucar,dulce,celia,cruz,98779,25,79,1,5
4,UHJlZ3VudGE6IFBLAwQUAAYACAAAACEAw5YEw5lRVQMAAMO+EAAAFAAAAHBwdC9wcmVzZW50YXRpb24ueG1sw6zCl8ORbsObIBTChsOvJ8OtHSzDn07CqQPCtsKxEzXCqcOSbcKZJnVSw5V2D0BtwpJaw4XDhgLDksK1wp3DtsOuOxDCnMKQUE3ClXbCm8KrYMO+w4PDj8OhczjChsOzwovDp8KWR09MwqpGdMKzGMKdwo3Do8KIdcKVwqjCm249wot/w54tR2UcKU3Cu8KacsORwrFZw7zDglR8McO/w7jDocK8wp/DtsKSKcOWacKqYWgENsKdwprDklnDvMKgdT9NElU9wrDClsKqM8ORwrMOwrTClcKQLcOVw7Aow5dJLcOpL8Kwb3nCgsOHY8KSwrTCtMOpYjdewr5nwrxYwq3CmsKKfRHDlcKmwoXDqcK3JsKSccKbwod6aHo1wrjDtcOvccOzV3HCmMKSwqJPw6x2c8KvwphewopOK8KgE8OPYcOZworDlz/CqMOSTH7Cr8KvwpQ+w6rCicKaehZjwpQVWcKZwpIMw5jDicKpw6kBBcOFw4nDvDx5a3gnNFPDv8Oqw5vCm8Ogw5zCucK8NQbCnA/Dm8ObZHLDomXCgcONw7hDecOiw4nDqcKxwpzCosOMwpPCs1DDtsONbXLChzLDtmQSw4rCqScXwoFMw4bCnlzChsKjw73DjCfDoWjDpMOTHwc6w7bDncKRfT3Ch8Ojw73DnFEALsOFB8O+ITnDoi8OwoXDqMKITxbChcOsSMOuw6shPMOiwqNHb8OQK8Kow6LCscO8VsOCwrLDm1zigaTCssKxw6FPIcKyw4LCscOcwrLCu8K6w5vCssKwwrDCusOfwq/CssKywrFcwrLCsUXjgI3CssODw4LCsMKxwrjCsMKxV8Kow4LCqsKxwrDCqMKwwqjDicKwIMK8wrjCscKwwrDDgsKwwrHCpn4hwqjCscKyfsKmwrHDm8KxfuKBuCDCpsKxfsKww4jCusK6wrHCo8Kj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,27,,1,3
5,Respuesta: [Respuesta generada por IA],Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,27,,1,4
6,UHJlZ3VudGE6IFBLAwQUAAYACAAAACEAwplVfgXDuQAAAMOhAgAACwAIAl9yZWxzLy5yZWxzIMKiBAIowqAAAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD0o4pePKVxy,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,5
7,"For purposes of classification, \(()\) consists of a list of all occurrences of \(",Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,3
8,"\) within \({([x,x)]\)). Therefore each occurrence corresponds to all occurrences of \({([x,x])]\), but not \({([x,x])]\).",Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,4
9,"For simplicity reasons, \(()\) consists of the \(`x\) element list. Thus \(()\) has three properties, which make \(()\) the",Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,5
10,Respuesta: [Respuesta generada por IA],Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,28,,1,3
11,Pregunta: %PDF-1.7,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
12,%µµµµ,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,5
13,1 0 obj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,3
14,<</Type/Catalog/Pages 2 0 R/Lang(en) /StructTreeRoot 25 0 R/MarkInfo<</Marked true>>/Metadata 267 0 R/ViewerPreferences 268 0 R>>,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,4
15,endobj,Respuesta generada por IA,Tema generado por IA,Subtema generado por IA,1,29,,1,5
